OBJECTID,SRA (at original adoption/recommendation),SRA (SRA22_2),FHSZ,FHSZ_Description,FHSZ_7Class,Shape__Area,Shape__Length
2978,,SRA,1,Moderate,SRA Moderate,205.95599937439,73.7376987659191
2979,,SRA,1,Moderate,SRA Moderate,9020.29776525497,630.888224427525
2980,,SRA,1,Moderate,SRA Moderate,545664.833034515,4002.94663211315
2981,,SRA,1,Moderate,SRA Moderate,461067.875549793,4988.99626021627
2982,,SRA,1,Moderate,SRA Moderate,1784618.89375305,11814.9156712003
2983,,SRA,1,Moderate,SRA Moderate,36197350.779623,63667.1612190864
2984,,SRA,1,Moderate,SRA Moderate,367.312499940395,84.4881956323132
2985,,SRA,1,Moderate,SRA Moderate,3264024.01823235,27976.5505040828
2986,,SRA,1,Moderate,SRA Moderate,1897276.26917076,10502.4675688779
2987,,SRA,1,Moderate,SRA Moderate,7085.15555477142,442.834988917518
2988,,SRA,1,Moderate,SRA Moderate,14757.7342624664,936.149090186658
2989,,SRA,1,Moderate,SRA Moderate,417600,3240
2990,,SRA,1,Moderate,SRA Moderate,475200,5520
2991,,SRA,1,Moderate,SRA Moderate,90900,1920
2992,,SRA,1,Moderate,SRA Moderate,20412321.2875957,52277.9582618233
2993,,SRA,1,Moderate,SRA Moderate,916254.439036369,6041.6041249289
2994,,SRA,1,Moderate,SRA Moderate,132300,2040
2995,,SRA,1,Moderate,SRA Moderate,342538.701776505,6005.72050265232
2996,,SRA,1,Moderate,SRA Moderate,151200,2400
2997,,SRA,1,Moderate,SRA Moderate,26631.4267873764,708.702031140718
2998,,SRA,1,Moderate,SRA Moderate,199800,2820
2999,,SRA,1,Moderate,SRA Moderate,180.407515525818,68.5017188925765
3000,,SRA,1,Moderate,SRA Moderate,3102.66655635834,417.539958979512
3001,,SRA,1,Moderate,SRA Moderate,863032.680950165,10565.5179381227
3002,,SRA,1,Moderate,SRA Moderate,14656.8427762985,662.181509089711
3003,,SRA,1,Moderate,SRA Moderate,939600,9120
3004,,SRA,1,Moderate,SRA Moderate,188.501150131226,172.897264438221
3005,,SRA,1,Moderate,SRA Moderate,304200,3480
3006,,SRA,1,Moderate,SRA Moderate,243000,3120
3007,,SRA,1,Moderate,SRA Moderate,23003.3823766708,1127.37255348831
3008,,SRA,1,Moderate,SRA Moderate,6121800,22140
3009,,SRA,1,Moderate,SRA Moderate,966600,11280
3010,,SRA,1,Moderate,SRA Moderate,2.13916778564453,7.0684248273656
3011,,SRA,1,Moderate,SRA Moderate,1056600,9420
3012,,SRA,1,Moderate,SRA Moderate,40.7557344436646,30.8816402294498
3013,,SRA,1,Moderate,SRA Moderate,17.7746257781982,20.3941855793907
3014,,SRA,1,Moderate,SRA Moderate,4.19433784484863,9.90689794362275
3015,,SRA,1,Moderate,SRA Moderate,130.686246871948,55.2948215853136
3016,,SRA,1,Moderate,SRA Moderate,86.7474632263184,45.0503286180315
3017,,SRA,1,Moderate,SRA Moderate,6158552.14902306,17417.1045141637
3018,,SRA,1,Moderate,SRA Moderate,9.73004937171936,16.9867971198836
3019,,SRA,1,Moderate,SRA Moderate,2882.27664279938,351.728487121422
3020,,SRA,1,Moderate,SRA Moderate,1933200,10200
3021,,SRA,1,Moderate,SRA Moderate,23535.6719989777,901.201079572449
3022,,SRA,1,Moderate,SRA Moderate,2103.87085151672,263.420544166962
3023,,SRA,1,Moderate,SRA Moderate,10437858.8818359,37696.4057258038
3024,,SRA,1,Moderate,SRA Moderate,42537.2387523651,1414.22924584942
3025,,SRA,1,Moderate,SRA Moderate,25384558.3593922,51341.433816226
3026,,SRA,1,Moderate,SRA Moderate,90575.386100769,2211.1039804684
3027,,SRA,1,Moderate,SRA Moderate,235720.594999313,2665.50916571483
3028,,SRA,1,Moderate,SRA Moderate,3944700,20100
3029,,SRA,1,Moderate,SRA Moderate,1558800,14400
3030,,SRA,1,Moderate,SRA Moderate,10106.7247962952,522.83100837736
3031,,SRA,1,Moderate,SRA Moderate,1996098.59554863,10678.8662051989
3032,,SRA,1,Moderate,SRA Moderate,29484.7314357758,1384.8261820977
3033,,SRA,1,Moderate,SRA Moderate,531.333000183105,191.890163237927
3034,,SRA,1,Moderate,SRA Moderate,322200,3000
3035,,SRA,1,Moderate,SRA Moderate,558123.303674698,5371.97650183953
3036,,SRA,1,Moderate,SRA Moderate,109800,1680
3037,,SRA,1,Moderate,SRA Moderate,185400,2700
3038,,SRA,1,Moderate,SRA Moderate,1327002.5791378,13801.1006182058
3039,,SRA,1,Moderate,SRA Moderate,5047.45392608643,385.246313870052
3040,,SRA,1,Moderate,SRA Moderate,211194.251054764,2716.88213080433
3041,,SRA,1,Moderate,SRA Moderate,81.5084972381592,49.7872677225584
3042,,SRA,1,Moderate,SRA Moderate,121532.262458801,4317.36326372445
3043,,SRA,1,Moderate,SRA Moderate,60611228.5582323,124325.52817419
3044,,SRA,1,Moderate,SRA Moderate,95200.8657054901,1852.60467762703
3045,,SRA,1,Moderate,SRA Moderate,239.060764312744,72.3930448300594
3046,,SRA,1,Moderate,SRA Moderate,1080853.94423485,8484.14087214924
3047,,SRA,1,Moderate,SRA Moderate,39611.5743103027,1255.78991247891
3048,,SRA,1,Moderate,SRA Moderate,227.951452255249,72.5424352146425
3049,,SRA,1,Moderate,SRA Moderate,591.953172683716,132.670276788532
3050,,SRA,1,Moderate,SRA Moderate,1905300,14400
3051,,SRA,1,Moderate,SRA Moderate,42827541.2044201,42061.0556134962
3052,,SRA,1,Moderate,SRA Moderate,37278.1371440887,1283.27087032394
3053,,SRA,1,Moderate,SRA Moderate,129600,2220
3054,,SRA,1,Moderate,SRA Moderate,1086300,11580
3055,,SRA,1,Moderate,SRA Moderate,183264.108060837,2365.44729933805
3056,,SRA,1,Moderate,SRA Moderate,97.6564979553223,52.8969383532635
3057,,SRA,1,Moderate,SRA Moderate,50.0845575332642,37.881905950446
3058,,SRA,1,Moderate,SRA Moderate,18.2513427734375,22.8679204696817
3059,,SRA,1,Moderate,SRA Moderate,48460.6521549225,1048.43097166991
3060,,SRA,1,Moderate,SRA Moderate,2198700,14220
3061,,SRA,1,Moderate,SRA Moderate,225000,3720
3062,,SRA,1,Moderate,SRA Moderate,8657100,30960
3063,,SRA,1,Moderate,SRA Moderate,101700,2100
