,zipcode,class,city,county,Area Code(s),pop,% of Population% of Pop
201,90639 ,Unique,La Mirada,Los Angeles,714,"1,511",0.00%
202,90640,Standard,Montebello,Los Angeles,213 / 323 / 738,"62,678",0.16%
203,90650,Standard,Norwalk,Los Angeles,562,"102,891",0.26%
204,90651 ,P.O. Box,Norwalk,Los Angeles,562,0,0.00%
205,90652 ,P.O. Box,Norwalk,Los Angeles,562,0,0.00%
206,90660,Standard,Pico Rivera,Los Angeles,562,"62,013",0.16%
207,90661 ,P.O. Box,Pico Rivera,Los Angeles,562,0,0.00%
208,90662 ,P.O. Box,Pico Rivera,Los Angeles,562,0,0.00%
209,90670,Standard,Santa Fe Springs,Los Angeles,562,"17,761",0.04%
210,90671 ,P.O. Box,Santa Fe Springs,Los Angeles,562,0,0.00%
211,90680,Standard,Stanton,Orange,657 / 714,"30,045",0.08%
212,90701,Standard,Artesia,Los Angeles,562 / 310,"16,434",0.04%
213,90702 ,P.O. Box,Artesia,Los Angeles,562 / 310,0,0.00%
214,90703,Standard,Cerritos,Los Angeles,562 / 310,"49,735",0.13%
215,90704 ,P.O. Box,Avalon,Los Angeles,424 / 310 / 562,"3,715",0.01%
216,90706,Standard,Bellflower,Los Angeles,562,"79,179",0.20%
217,90707 ,P.O. Box,Bellflower,Los Angeles,562,0,0.00%
218,90710,Standard,Harbor City,Los Angeles,424 / 310,"26,605",0.07%
219,90711 ,P.O. Box,Lakewood,Los Angeles,213 / 310 / 323 / 562 / 657 / 738,0,0.00%
220,90712,Standard,Lakewood,Los Angeles,213 / 310 / 323 / 562 / 657 / 738,"32,332",0.08%
221,90713,Standard,Lakewood,Los Angeles,213 / 310 / 323 / 562 / 657 / 738,"28,755",0.07%
222,90714 ,P.O. Box,Lakewood,Los Angeles,213 / 310 / 323 / 562 / 657 / 738,0,0.00%
223,90715,Standard,Lakewood,Los Angeles,562 / 310,"20,999",0.05%
224,90716,Standard,Hawaiian Gardens,Los Angeles,562 / 310,"14,098",0.04%
225,90717,Standard,Lomita,Los Angeles,424 / 310,"22,044",0.06%
226,90720,Standard,Los Alamitos,Orange,562 / 657 / 714,"22,955",0.06%
227,90721 ,P.O. Box,Los Alamitos,Orange,562 / 657 / 714,0,0.00%
228,90723,Standard,Paramount,Los Angeles,562,"53,770",0.14%
229,90731,Standard,San Pedro,Los Angeles,424 / 310 / 562,"61,270",0.15%
230,90732,Standard,San Pedro,Los Angeles,424 / 310 / 562,"21,397",0.05%
231,90733 ,P.O. Box,San Pedro,Los Angeles,424 / 310 / 562,0,0.00%
