ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,FHSZ_mean,FHSZ_majority
"96124","96124",860Z200US96124,B5,G6350,S,"137550222","165992","+39.6387930","-120.4679416",2.285714,3.000000
"95693","95693",860Z200US95693,B5,G6350,S,"151932378","0","+38.3985313","-121.2195101",1.000000,1.000000
"95639","95639",860Z200US95639,B5,G6350,S,"12000613","1253608","+38.4085400","-121.4953653",0.000000,0.000000
"95605","95605",860Z200US95605,B5,G6350,S,"10098951","434269","+38.5935212","-121.5398670",0.000000,0.000000
"95587","95587",860Z200US95587,B5,G6350,S,"49576598","0","+39.9696842","-123.7553699",2.500000,2.000000
"95589","95589",860Z200US95589,B5,G6350,S,"395735572","0","+40.0614430","-123.9797970",2.255319,3.000000
"95437","95437",860Z200US95437,B5,G6350,S,"459440572","1642691","+39.4439490","-123.6859200",1.545455,1.000000
"92257","92257",860Z200US92257,B5,G6350,S,"701035854","53324","+33.3362365","-115.5256891",0.000000,0.000000
"95542","95542",860Z200US95542,B5,G6350,S,"568591072","576334","+40.0932543","-123.7598313",1.826087,1.000000
"95612","95612",860Z200US95612,B5,G6350,S,"164742638","9151120","+38.3847062","-121.5787214",0.000000,0.000000
"92325","92325",860Z200US92325,B5,G6350,S,"22633972","308820","+34.2466993","-117.2760268",3.000000,3.000000
"95528","95528",860Z200US95528,B5,G6350,S,"227613093","408577","+40.4969858","-123.9308113",1.750000,2.000000
"92322","92322",860Z200US92322,B5,G6350,S,"8517650","0","+34.2541707","-117.3225759",3.000000,3.000000
"93442","93442",860Z200US93442,B5,G6350,S,"115402977","2658854","+35.4013978","-120.7999355",2.418605,3.000000
"92135","92135",860Z200US92135,B5,G6350,S,"1089521","0","+32.6949759","-117.1943543",0.000000,0.000000
"92352","92352",860Z200US92352,B5,G6350,S,"29871279","3045998","+34.2676864","-117.1867211",2.666667,3.000000
"95536","95536",860Z200US95536,B5,G6350,S,"421502887","3288713","+40.5012414","-124.2099284",1.666667,2.000000
"95558","95558",860Z200US95558,B5,G6350,S,"436271454","762614","+40.3375803","-124.2611775",2.066667,2.000000
"95456","95456",860Z200US95456,B5,G6350,S,"29346937","569355","+39.2588858","-123.7591643",1.750000,1.000000
"95410","95410",860Z200US95410,B5,G6350,S,"77760741","1089284","+39.2349401","-123.6998535",2.000000,2.000000
"95679","95679",860Z200US95679,B5,G6350,S,"15300013","552714","+38.9165945","-122.2852761",2.250000,3.000000
"92339","92339",860Z200US92339,B5,G6350,S,"204453188","10732","+34.0839320","-116.8373681",2.791667,3.000000
"93950","93950",860Z200US93950,B5,G6350,S,"7272434","15197","+36.6191012","-121.9254390",2.444444,3.000000
"95559","95559",860Z200US95559,B5,G6350,S,"47656744","87516","+40.1902812","-123.7482968",2.000000,2.000000
"95511","95511",860Z200US95511,B5,G6350,S,"106874377","562016","+40.1660276","-123.5841439",2.333333,2.000000
"92886","92886",860Z200US92886,B5,G6350,S,"33576768","52602","+33.8954111","-117.8008294",2.571429,3.000000
"91913","91913",860Z200US91913,B5,G6350,S,"23557926","73830","+32.6228947","-116.9868919",1.500000,1.000000
"96073","96073",860Z200US96073,B5,G6350,S,"117135560","962954","+40.5986009","-122.1949297",1.900000,1.000000
"96065","96065",860Z200US96065,B5,G6350,S,"355125922","4351717","+40.8901666","-121.9567855",3.000000,3.000000
"96088","96088",860Z200US96088,B5,G6350,S,"448109962","758744","+40.5108701","-121.8761124",2.230769,2.000000
"92008","92008",860Z200US92008,B5,G6350,S,"26937836","3726477","+33.1424801","-117.3134440",3.000000,3.000000
"94130","94130",860Z200US94130,B5,G6350,S,"2281270","2394958","+37.8196555","-122.3686596",0.000000,0.000000
"96017","96017",860Z200US96017,B5,G6350,S,"241916540","498788","+41.1059600","-122.3125167",3.000000,3.000000
"91978","91978",860Z200US91978,B5,G6350,S,"30923180","88959","+32.6989207","-116.9309592",2.785714,3.000000
"92070","92070",860Z200US92070,B5,G6350,S,"335183515","12660991","+33.1885750","-116.7432798",2.666667,3.000000
"96143","96143",860Z200US96143,B5,G6350,S,"23903310","660985","+39.2605746","-120.0262906",2.500000,2.000000
"91906","91906",860Z200US91906,B5,G6350,S,"272324214","1848528","+32.6580495","-116.4760421",2.421053,3.000000
