fid,ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,zip_area,GEOID20_2,FHSZ_avg_rating
1019,"95467","95467",860Z200US95467,B5,G6350,S,19051728,374389,"+38.8129545","-122.5480991",19426118.2726376,"95467",2.67516201182383
1020,"93004","93004",860Z200US93004,B5,G6350,S,18205301,687794,"+34.2781910","-119.1645582",18893087.6718883,"93004",0.0048742314060967
1021,"96086","96086",860Z200US96086,B5,G6350,S,526121262,2009315,"+41.9242120","-123.2608091",528130640.995717,"96086",0.102014501811638
1022,"93720","93720",860Z200US93720,B5,G6350,S,27042452,243250,"+36.8622090","-119.7607933",27285705.2180819,,0
1023,"95818","95818",860Z200US95818,B5,G6350,S,9995674,423471,"+38.5544871","-121.4970584",10419138.9487751,,0
1024,"95954","95954",860Z200US95954,B5,G6350,S,328490412,3646689,"+39.8541890","-121.5778661",332137137.033284,"95954",2.18803070283035
1025,"92833","92833",860Z200US92833,B5,G6350,S,19859067,0,"+33.8805093","-117.9611323",19859060.0708784,"92833",0.601923222843337
1026,"95820","95820",860Z200US95820,B5,G6350,S,13642312,0,"+38.5349099","-121.4442024",13642320.0734318,,0
1027,"95978","95978",860Z200US95978,B5,G6350,S,96261,0,"+39.9084390","-121.5296158",96260.7857123681,"95978",3.0000000004742
1028,"95310","95310",860Z200US95310,B5,G6350,S,115847499,2670057,"+38.0858386","-120.3785504",118517555.171724,"95310",0.899578767373703
1029,"95914","95914",860Z200US95914,B5,G6350,S,56692520,0,"+39.4075858","-121.3787717",56692524.0480016,"95914",2.60745055197696
1030,"95822","95822",860Z200US95822,B5,G6350,S,21749564,251925,"+38.5128441","-121.4942151",22001503.6021938,,0
1031,"93311","93311",860Z200US93311,B5,G6350,S,551444704,2255271,"+35.1537293","-119.1683616",553699987.590503,"93311",0.315247632440184
1032,"95346","95346",860Z200US95346,B5,G6350,S,13231008,7463,"+38.0704750","-120.1733531",13238472.0121094,"95346",2.31713754541881
1033,"92407","92407",860Z200US92407,B5,G6350,S,211508107,462781,"+34.2251623","-117.3884871",211970895.287344,"92407",1.10925352004691
1034,"93207","93207",860Z200US93207,B5,G6350,S,135692710,1961,"+35.8952939","-118.5956271",135694687.587894,"93207",0.672302770642876
1035,"93267","93267",860Z200US93267,B5,G6350,S,159872975,33920,"+36.1436233","-119.0738770",159906904.617075,"93267",0.318077319023399
1036,"92316","92316",860Z200US92316,B5,G6350,S,29806771,232643,"+34.0570660","-117.3911786",30039409.2174288,"92316",0.035016942273878
1037,"91902","91902",860Z200US91902,B5,G6350,S,29051737,3030217,"+32.6732170","-117.0061014",32081955.7116868,"91902",0.29060550994818
1038,"95209","95209",860Z200US95209,B5,G6350,S,21336259,412635,"+38.0468630","-121.3528022",21748898.8192979,,0
1039,"92139","92139",860Z200US92139,B5,G6350,S,9266342,0,"+32.6800314","-117.0488864",9266341.70232273,"92139",0.111043283959885
1040,"95219","95219",860Z200US95219,B5,G6350,S,302667360,60214415,"+38.0374279","-121.5124976",362881807.462131,,0
1041,"95901","95901",860Z200US95901,B5,G6350,S,518511895,4184131,"+39.2239387","-121.4940499",522696077.202624,"95901",0.7036610687715
